Time (s),Mass (kg),Average mass (kg),Pull force (kg)
9.794591904,0.0167,,65.8763
9.80687499,0.021,,65.872
9.819197893,0.0105,,65.8825
9.831456661,0.0253,,65.8677
9.844225883,0.0202,,65.8728
9.85609293,0.0122,,65.8808
9.868510008,0.0162,,65.8768
9.881067753,0.0353,,65.8577
9.89307189,0.0408,,65.8522
9.909093857,0.0154,,65.8776
9.921452761,0.6134,,65.2796
9.933688879,3.595,,62.298
9.946248055,7.0907,,58.8023
9.958415985,11.2235,,54.6695
9.970723867,15.8306,,50.0624
9.982889891,19.61,,46.283
9.995291948,22.1319,,43.7611
10.00764179,24.2669,,41.6261
10.01996899,26.7166,,39.1764
10.03228283,29.7877,,36.1053
10.04851389,33.4494,,32.4436
10.06080794,37.3742,,28.5188
10.0730319,40.9985,,24.8945
10.08538198,44.1622,,21.7308
10.09762192,46.7235,,19.1695
10.10996795,50.2732,,15.6198
10.12218404,51.6752,,14.2178
10.13467503,53.0386,,12.8544
10.14680982,54.5107,,11.3823
10.16304588,56.1037,,9.7893
10.17533803,57.707,,8.186
10.18771005,59.1665,,6.7265
10.19995403,60.4759,,5.4171
10.21264696,61.5,,4.393
10.22470784,62.2495,,3.6435
10.23775482,62.6538,,3.2392
10.24935675,62.7312,,3.1618
10.26172709,62.6835,,3.2095
10.27400994,62.5795,,3.3135
10.29007292,61.852,,4.041
10.30233884,61.1561,,4.7369
10.31489372,60.2753,,5.6177
10.32709289,59.257,,6.636
10.33962774,58.305,,7.588
10.35165191,57.5414,,8.3516
10.36394095,56.9132,,8.9798
10.37621093,56.4327,,9.4603
10.38842297,56.2413,,9.6517
10.40473986,56.2489,,9.6441
10.41711998,56.5507,,9.3423
10.42934775,57.2402,,8.6528
10.44195104,58.1117,,7.7813
10.45452595,59.5976,,6.2954
10.4663198,60.0806,,5.8124
10.47852898,60.2918,,5.6012
10.49090576,60.1564,,5.7366
10.50333595,59.5815,,6.3115
10.52003884,58.8271,,7.0659
10.53182602,58.3908,,7.5022
10.54406309,58.0642,,7.8288
10.5563848,58.3623,,7.5307
10.56903577,59.444,,6.449
10.58093905,60.9586,,4.9344
10.59331203,62.5891,,3.3039
10.60560393,64.4514,,1.4416
10.61781693,67.8007,,-1.9077
10.63404989,68.4613,,-2.5683
10.64640284,68.4084,,-2.5154
10.65876675,67.8881,,-1.9951
10.67143512,67.0579,,-1.1649
10.68332386,65.9114,,-0.0184
10.69601679,64.6255,,1.2675
10.70798802,63.6222,,2.2708
10.72026777,63.1284,,2.7646
10.73263073,63.0773,,2.8157
10.74873185,63.2995,,2.5935
10.76107383,63.6781,,2.2149
10.77350187,64.1069,,1.7861
10.78573585,64.4326,,1.4604
10.79798293,64.5486,,1.3444
10.81031513,64.477,,1.416
10.82257009,64.3055,,1.5875
10.83504486,64.0684,,1.8246
10.84727502,63.7944,,2.0986
10.86349297,63.4926,,2.4004
10.87575388,63.3395,,2.5535
10.88832903,63.2822,,2.6108
10.90042186,63.291,,2.602
10.9130199,63.351,,2.542
10.92496991,63.5642,,2.3288
10.93746209,63.8564,,2.0366
10.94953489,64.0333,,1.8597
10.96208906,64.0138,,1.8792
10.97426009,63.8573,,2.0357
10.99045777,63.6674,,2.2256
11.0027647,63.5032,,2.3898
11.01509309,63.3199,,2.5731
11.02739787,63.1375,,2.7555
11.03976774,63.0243,,2.8687
11.05199075,63.0356,,2.8574
11.06427813,63.1206,,2.7724
11.07665801,63.1738,,2.7192
11.08931684,63.161,,2.732
11.10512185,63.0534,,2.8396
11.11749887,62.8757,,3.0173
11.12976694,62.6922,,3.2008
11.1421299,62.3872,,3.5058
11.15531182,62.2621,,3.6309
11.16745782,62.133,,3.76
11.17899704,62.022,,3.871
11.19129872,62.0982,,3.7948
11.20367908,62.2248,,3.6682
