Time (s),Mass (kg),Average weight,Pull force (kg)
8.908973932,0.0019,,80.1181
8.920602083,0.0019,,80.1181
8.932947874,0.0149,,80.1051
8.945264816,0.0095,,80.1105
8.957531691,0.0102,,80.1098
8.969832897,0.0218,,80.0982
8.98211813,0.0165,,80.1035
8.994422913,0.0077,,80.1123
9.010725021,0.0001,,80.1199
9.022855759,0.0055,,80.1145
9.035272837,0.0211,,80.0989
9.047460079,0.0291,,80.0909
9.059803009,0.0215,,80.0985
9.072070837,0.0432,,80.0768
9.084616899,0.0435,,80.0765
9.096912146,0.0135,,80.1065
9.108974934,0.0094,,80.1106
9.121280909,0.0094,,80.1106
9.133573055,0.0081,,80.1119
9.145886898,0.0103,,80.1097
9.158145905,0.0008,,80.1192
9.170475006,0.0011,,80.1189
9.182899952,0.0054,,80.1146
9.194979906,0.0226,,80.0974
9.207383871,0.0273,,80.0927
9.219754934,0.0115,,80.1085
9.23196888,0.0033,,80.1167
9.244333029,0.0085,,80.1115
9.256585836,0.0046,,80.1154
9.269181967,0.0148,,80.1052
9.285022974,0.0117,,80.1083
9.297317028,0.0126,,80.1074
9.309693813,0.0101,,80.1099
9.321954966,0.007,,80.113
9.334546804,0.0135,,80.1065
9.346535921,0.0104,,80.1096
9.358797073,0.0015,,80.1185
9.371042013,0.0016,,80.1184
9.383440018,0.0019,,80.1181
9.395756006,0.0075,,80.1125
9.408545017,0.0187,,80.1013
9.420599937,0.0119,,80.1081
9.432579041,0.0041,,80.1159
9.444962025,0.0238,,80.0962
9.457196951,0.0131,,80.1069
9.469523907,0.0236,,80.0964
9.481843948,0.0207,,80.0993
9.494086027,0.0097,,80.1103
9.50632,0.0097,,80.1103
9.521938801,0.0263,,80.0937
9.533675909,0.0252,,80.0948
9.543799877,0.0073,,80.1127
9.559435844,0.002,,80.118
9.571693897,0.0191,,80.1009
9.584053993,0.0098,,80.1102
9.596345901,0.0068,,80.1132
9.60871172,0.0114,,80.1086
9.621372938,0.003,,80.117
9.63321805,0.0228,,80.0972
9.646294832,0.0057,,80.1143
9.660074949,0.0069,,80.1131
9.671499968,0.0038,,80.1162
9.682582855,0.0215,,80.0985
9.696033001,0.0196,,80.1004
9.707104921,0.0534,,80.0666
9.719702959,0.0478,,80.0722
9.731637001,0.0413,,80.0787
9.744132996,0.0189,,80.1011
9.756101131,0.0027,,80.1173
9.773775101,0.0004,,80.1196
9.782801867,0.0287,,80.0913
9.796262741,0.02,,80.1
9.807991982,0.0018,,80.1182
9.817759991,0.0134,,80.1066
9.83502984,0.0046,,80.1154
9.847546101,0.003,,80.117
9.858665943,0.013,,80.107
9.876827002,0.0015,,80.1185
9.884612083,0.0008,,80.1192
9.895360947,0.0112,,80.1088
9.90762496,0.025,,80.095
9.919890881,0.017,,80.103
9.932274818,0.0072,,80.1128
9.944529772,0.0116,,80.1084
9.956870794,0.0107,,80.1093
9.96911788,0.018,,80.102
9.981508017,0.0134,,80.1066
9.993650913,0.0191,,80.1009
10.00601387,0.029,,80.091
10.01830792,0.0046,,80.1154
10.0308001,0.0208,,80.0992
10.04309177,0.0059,,80.1141
10.05612588,0.0043,,80.1157
10.06993198,0.0035,,80.1165
10.08022594,0.0047,,80.1153
10.09250712,0.0035,,80.1165
10.10827112,0.0178,,80.1022
10.12080598,0.0256,,80.0944
10.13332486,0.0198,,80.1002
10.1456399,0.0039,,80.1161
10.15748692,0.0076,,80.1124
10.16977501,0.0122,,80.1078
10.18261695,0.024,,80.096
10.19436884,0.0055,,80.1145
10.2067697,0,,80.12
10.21896601,0.01,,80.11
10.23120689,0.0131,,80.1069
10.24411893,0.0033,,80.1167
10.25586081,0.0001,,80.1199
10.26813579,0.0045,,80.1155
10.28106213,0.0167,,80.1033
10.29353285,0.0133,,80.1067
10.30505991,0.017,,80.103
10.31794095,0.0099,,80.1101
10.32967901,0.0195,,80.1005
10.34204483,0.0151,,80.1049
10.3542819,0.0093,,80.1107
10.36652374,0.0171,,80.1029
10.38287687,0.0184,,80.1016
10.39682984,0.0306,,80.0894
10.40730381,0.0224,,80.0976
10.41963887,0.0379,,80.0821
10.43193173,0.0128,,80.1072
10.44421697,0.0245,,80.0955
10.45648599,0.0196,,80.1004
10.46878791,0.0227,,80.0973
10.48111987,0.049,,80.071
10.49338889,0.024,,80.096
10.50566792,0.0327,,80.0873
10.5180459,0.0135,,80.1065
10.53030086,0.0122,,80.1078
10.54260707,0.0261,,80.0939
10.55501986,0.001,,80.119
10.56735301,0.0005,,80.1195
10.57987189,0.0203,,80.0997
10.59164691,0.0146,,80.1054
10.60402703,0.0009,,80.1191
10.61633873,0.0231,,80.0969
10.62858105,0.0435,,80.0765
10.64093781,0.0485,,80.0715
10.65714693,0.033,,80.087
10.66947198,0.0121,,80.1079
10.68170214,0.0056,,80.1144
10.69417191,0.0133,,80.1067
10.70630789,0.004,,80.116
10.71860075,0.0223,,80.0977
10.73095798,0.0053,,80.1147
10.74345589,0.0145,,80.1055
10.75549412,0.0006,,80.1194
10.76780105,0.0103,,80.1097
10.7805748,0.0102,,80.1098
10.79253912,0.0137,,80.1063
10.80470705,0.0109,,80.1091
10.81701493,0.0026,,80.1174
10.83024597,0.026,,80.094
10.8415029,0.0105,,80.1095
10.8539629,0.0067,,80.1133
10.86635375,0.0165,,80.1035
10.87853193,0.0152,,80.1048
10.89134002,0.0036,,80.1164
10.90303588,0.01,,80.11
10.91543007,0.0179,,80.1021
10.93155885,0.0064,,80.1136
10.94423699,0.0083,,80.1117
10.95619607,0.0057,,80.1143
10.96842384,0.0047,,80.1153
10.98117495,0.0043,,80.1157
10.993016,0.006,,80.114
11.00532198,0.001,,80.119
11.01827979,0.0118,,80.1082
11.03013086,0.0013,,80.1187
11.04243302,0.0031,,80.1169
11.05457878,0.0152,,80.1048
11.06683111,0.0105,,80.1095
11.07912493,0.0053,,80.1147
11.09137893,0.0487,,80.0713
11.10368204,0.0532,,80.0668
11.11616087,0.0267,,80.0933
11.12854791,0.0147,,80.1053
11.14050889,0.0464,,80.0736
11.15296102,0.0218,,80.0982
11.16557789,0.032,,80.088
11.17759991,0.0161,,80.1039
11.19025779,0.0152,,80.1048
11.20605302,0.0227,,80.0973
11.21825504,0.0226,,80.0974
11.23172188,0.0041,,80.1159
11.24288201,0.0179,,80.1021
11.25518203,0.0141,,80.1059
11.26766777,0.0057,,80.1143
11.28221416,0.0066,,80.1134
11.2936151,0.0079,,80.1121
11.30497289,0.0005,,80.1195
11.31845593,0.0122,,80.1078
11.32895088,0.016,,80.104
11.34178591,0.0251,,80.0949
11.35354209,0.0249,,80.0951
11.36600804,0.0231,,80.0969
11.37822413,0.0124,,80.1076
11.39043975,0.0005,,80.1195
11.40284371,0.0024,,80.1176
11.41715384,0.0054,,80.1146
11.430305,0.0138,,80.1062
11.44403982,0.0111,,80.1089
11.45792675,0.0182,,80.1018
11.4681499,0.0248,,80.0952
11.48122096,0.0213,,80.0987
11.49533415,0.0218,,80.0982
11.50785708,0.0246,,80.0954
11.51727891,0.0299,,80.0901
11.52999806,0.0109,,80.1091
11.54186201,0.0075,,80.1125
11.55409884,0.0122,,80.1078
11.56659079,0.013,,80.107
11.578897,0.0098,,80.1102
11.59104514,0.0027,,80.1173
11.60342503,0.0064,,80.1136
11.61563373,0.0108,,80.1092
11.62818098,0.0241,,80.0959
11.64016891,0.0319,,80.0881
11.65496492,0.0333,,80.0867
11.6697669,0.0302,,80.0898
11.68192673,0.0064,,80.1136
11.69147801,0.0114,,80.1086
11.70178986,0.0035,,80.1165
11.71796608,0.0115,,80.1085
11.7306428,0.2604,,79.8596
11.74253988,1.2768,,78.8432
11.754848,1.8102,,78.3098
11.76871586,2.1975,,77.9225
11.782166,2.6171,,77.5029
11.79309201,2.9236,,77.1964
11.80510473,3.7675,,76.3525
11.81818008,5.3232,,74.7968
11.83305192,6.9868,,73.1332
11.84766483,9.7083,,70.4117
11.85734701,10.4019,,69.7181
11.86958694,10.8695,,69.2505
11.88468194,11.6509,,68.4691
11.89451575,12.9023,,67.2177
11.91084003,14.5317,,65.5883
11.92337298,16.6431,,63.4769
11.93627,19.3616,,60.7584
11.94872499,22.5611,,57.5589
11.96107888,25.9442,,54.1758
11.97203708,29.1704,,50.9496
11.98862886,35.4453,,44.6747
12.00059485,38.6044,,41.5156
12.0129478,41.7894,,38.3306
12.02550697,44.8718,,35.2482
12.03755593,47.6639,,32.4561
12.04992604,50.4542,,29.6658
12.0661118,53.383,,26.737
12.07841706,55.8342,,24.2858
12.090765,57.9044,,22.2156
12.10310078,59.7295,,20.3905
12.1154449,62.5891,,17.5309
12.12774086,63.5111,,16.6089
12.14407015,64.0039,,16.1161
12.15668488,64.1738,,15.9462
12.16881084,64.3344,,15.7856
12.18155599,64.6745,,15.4455
12.1931901,65.0794,,15.0406
12.20945191,65.563,,14.557
12.22189093,66.1864,,13.9336
